Old Spice | NFL | Deliverables Doc,,,,,,,,,,
ISCIs + Deliverables,,,,,,,,,,
Date Document Updated:,8/12/25,Uploaded/ Passed QC,SHIPPED,,,,,,,
Total Deliverables: ,106,In Progress,,,,,,,,
WK Production Job #: ,OLDPNAMV1033,Changed/New,,,,,,,,
,,, ,,,,,,,
,,,,,,,,,,
BROADCAST NTSC Masters: (16:9),,,,,,,,,,
,7/15,8/1,PGOC5463000H,NFL_Presenting Coaching_DEO_Product_NA_WEB_9x16_HD_06,WEB,,,,,
,7/15,8/1,PGOC5464000H,NFL_Presenting Coaching_DEO_Product_CAPS_NA_WEB_9x16_HD_06,WEB,Burned-In Subtitles,,,,
,7/15,8/1,PGOC5465000H,NFL_Presenting Coaching_DEO_Product_NA_WEB_9x16_Generic_HD_06,WEB,,,,,
,,,,,,,,,,
,10/24,TBD,PGOC5665000H,NFL_EagleScream_DEO_NA_WEB_9x16_HD_15,WEB,,,,,
,10/24,TBD,PGOC5666000H,NFL_EagleScream_DEO_CAPS_NA_WEB_9x16_HD_15,WEB,Burned-In Subtitles,,,,
,10/24,TBD,PGOC5667000H,NFL_EagleScream_DEO_NA_WEB_9x16_Generic_HD_15,WEB,,,,,
,,,,,,,,,,
,9/19,9/30,PGOC5668000H,NFL_Soar_DEO_NA_WEB_9x16_HD_06,WEB,,,,,
,9/19,9/30,PGOC5669000H,NFL_Soar_DEO_CAPS_NA_WEB_9x16_HD_06,WEB,Burned-In Subtitles,,,,
,9/19,9/30,PGOC5670000H,NFL_Soar_DEO_NA_WEB_9x16_Generic_HD_06,WEB,,,,,
,,,,,,,,,,
,9/19,TBD,PGOC5671000H,NFL_Highlight_DEO_NA_WEB_9x16_HD_06,WEB,,,,,
,9/19,TBD,PGOC5672000H,NFL_Highlight_DEO_CAPS_NA_WEB_9x16_HD_06,WEB,Burned-In Subtitles,,,,
,9/19,TBD,PGOC5673000H,NFL_Highlight_DEO_NA_WEB_9x16_Generic_HD_06,WEB,,,,,
,,,,,,,,,,
,10/24,TBD,PGOC5690000H,NFL_BigManTackles_DEO_NA_WEB_9x16_HD_15,WEB,,,,,
,10/24,TBD,PGOC5691000H,NFL_BigManTackles_DEO_CAPS_NA_WEB_9x16_HD_15,WEB,Burned-In Subtitles,,,,
,10/24,TBD,PGOC5692000H,NFL_BigManTackles_DEO_NA_WEB_9x16_Generic_HD_15,WEB,,,,,
,,,,,,,,,,
,10/24,TBD,PGOC5693000H,NFL_Space_DEO_NA_WEB_9x16_HD_15,WEB,,,,,
,10/24,TBD,PGOC5694000H,NFL_Space_DEO_CAPS_NA_WEB_9x16_HD_15,WEB,Burned-In Subtitles,,,,
,10/24,TBD,PGOC5695000H,NFL_Space_DEO_NA_WEB_9x16_Generic_HD_15,WEB,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,safe zones ->,,,,,,
